word,emotion
pass,fear
when,fear
five,fear
base,fear
search,fear
calm,fear
team,fear
burn,fear
pearl,fear
tough,fear
reach,fear
bath,fear
lose,fear
pick,fear
thumb,fear
love,fear
dog,fear
juice,fear
shawl,fear
red,fear
boat,fear
week,fear
thin,fear
yes,fear
hush,fear
which,fear
home,fear
cool,fear
read,fear
walk,fear
far,fear
cab,fear
mood,fear
bone,fear
raid,fear
limb,fear
gaze,fear
bar,fear
judge,fear
moon,fear
hate,fear
rat,fear
long,fear
lease,fear
yes,neutral
date,neutral
long,neutral
bite,neutral
jug,neutral
reach,neutral
talk,neutral
sell,neutral
came,neutral
burn,neutral
pad,neutral
have,neutral
dog,neutral
size,neutral
neat,neutral
tire,neutral
shawl,neutral
hate,neutral
loaf,neutral
chain,neutral
lose,neutral
sure,neutral
tool,neutral
dodge,neutral
dip,neutral
chat,neutral
should,neutral
hole,neutral
bar,neutral
wife,neutral
page,neutral
pearl,neutral
far,neutral
goal,neutral
raise,neutral
late,neutral
rush,neutral
match,neutral
when,neutral
moon,neutral
bought,neutral
voice,neutral
life,neutral
chair,neutral
yearn,neutral
cheek,neutral
keg,neutral
fail,neutral
food,neutral
lot,neutral
tape,neutral
week,neutral
boat,neutral
pick,neutral
knock,neutral
chief,neutral
walk,neutral
mess,neutral
shirt,neutral
south,neutral
thin,neutral
peg,neutral
rag,neutral
goose,neutral
pain,neutral
gun,neutral
nice,neutral
rose,neutral
lean,neutral
kill,neutral
soup,neutral
cool,neutral
luck,neutral
mouse,neutral
cause,neutral
home,neutral
haze,neutral
seize,neutral
king,neutral
note,neutral
wag,neutral
lore,neutral
judge,neutral
beg,neutral
death,neutral
lease,neutral
germ,neutral
take,neutral
soap,neutral
juice,neutral
red,neutral
ripe,neutral
doll,neutral
white,neutral
search,neutral
said,neutral
pass,neutral
shack,neutral
phone,neutral
deep,neutral
rat,neutral
five,neutral
keen,neutral
hire,neutral
lid,neutral
wire,neutral
get,neutral
dab,neutral
near,neutral
tough,neutral
gas,neutral
fall,neutral
ring,neutral
cab,neutral
gaze,neutral
laud,neutral
join,neutral
sub,neutral
puff,neutral
learn,neutral
sour,neutral
perch,neutral
gap,neutral
time,neutral
nag,neutral
youth,neutral
limb,neutral
shout,neutral
pool,neutral
hit,neutral
jar,neutral
thought,neutral
pole,neutral
void,neutral
room,neutral
bone,neutral
witch,neutral
ditch,neutral
met,neutral
vote,neutral
calm,neutral
turn,neutral
fit,neutral
half,neutral
love,neutral
wheat,neutral
raid,neutral
thumb,neutral
vine,neutral
whip,neutral
chalk,neutral
road,neutral
third,neutral
mob,neutral
tip,neutral
bean,neutral
book,neutral
mill,neutral
merge,neutral
mode,neutral
kick,neutral
hurl,neutral
kite,neutral
mop,neutral
read,neutral
wash,neutral
make,neutral
bath,neutral
rain,neutral
hash,neutral
jail,neutral
tell,neutral
check,neutral
which,neutral
back,neutral
pike,neutral
choice,neutral
shall,neutral
numb,neutral
ton,neutral
mood,neutral
hush,neutral
live,neutral
door,neutral
such,neutral
rot,neutral
sail,neutral
young,neutral
dead,neutral
name,neutral
keep,neutral
gin,neutral
sheep,neutral
hall,neutral
dime,neutral
good,neutral
team,neutral
fat,neutral
rough,neutral
base,neutral
pike,disgust
thought,disgust
which,disgust
bean,disgust
hall,disgust
king,disgust
doll,disgust
walk,disgust
pad,disgust
ditch,disgust
met,disgust
fail,disgust
join,disgust
pain,disgust
talk,disgust
bath,disgust
live,disgust
yearn,disgust
food,disgust
cab,disgust
jar,disgust
wire,disgust
sheep,disgust
such,disgust
thumb,disgust
chair,disgust
cheek,disgust
lid,disgust
book,disgust
mop,disgust
love,disgust
boat,disgust
calm,disgust
whip,disgust
gaze,disgust
vine,disgust
tire,disgust
tell,disgust
mode,disgust
rose,disgust
tip,disgust
home,disgust
dodge,disgust
lease,disgust
voice,disgust
sail,disgust
pearl,disgust
shawl,disgust
gin,disgust
gap,disgust
bone,disgust
void,disgust
judge,disgust
knock,disgust
sell,disgust
shack,disgust
red,disgust
hire,disgust
seize,disgust
lean,disgust
soup,disgust
base,disgust
burn,disgust
phone,disgust
wash,disgust
lose,disgust
laud,disgust
white,disgust
merge,disgust
pass,disgust
deep,disgust
cool,disgust
dab,disgust
yes,disgust
youth,disgust
gun,disgust
page,disgust
chain,disgust
germ,disgust
dip,disgust
mouse,disgust
fit,disgust
search,disgust
dog,disgust
chalk,disgust
cause,disgust
came,disgust
when,disgust
lore,disgust
goose,disgust
door,disgust
vote,disgust
rat,disgust
loaf,disgust
kite,disgust
limb,disgust
wheat,disgust
ring,disgust
hash,disgust
shall,disgust
bar,disgust
hole,disgust
size,disgust
note,disgust
choice,disgust
time,disgust
soap,disgust
take,disgust
perch,disgust
sub,disgust
goal,disgust
hit,disgust
keep,disgust
tough,disgust
raid,disgust
learn,disgust
read,disgust
five,disgust
reach,disgust
keen,disgust
get,disgust
kick,disgust
half,disgust
shirt,disgust
date,disgust
neat,disgust
nice,disgust
pole,disgust
wag,disgust
life,disgust
young,disgust
nag,disgust
rain,disgust
bite,disgust
hush,disgust
puff,disgust
mill,disgust
road,disgust
mood,disgust
pool,disgust
witch,disgust
shout,disgust
bought,disgust
luck,disgust
beg,disgust
thin,disgust
near,disgust
rush,disgust
gas,disgust
tool,disgust
late,disgust
haze,disgust
chat,disgust
hate,disgust
back,disgust
have,disgust
sure,disgust
week,disgust
jail,disgust
mob,disgust
make,disgust
rough,disgust
moon,disgust
dead,disgust
dime,disgust
lot,disgust
rag,disgust
long,disgust
jug,disgust
match,disgust
fat,disgust
numb,disgust
third,disgust
check,disgust
peg,disgust
fall,disgust
juice,disgust
keg,disgust
ripe,disgust
raise,disgust
wife,disgust
tape,disgust
death,disgust
hurl,disgust
said,disgust
ton,disgust
kill,disgust
mess,disgust
should,disgust
team,disgust
rot,disgust
south,disgust
turn,disgust
sour,disgust
room,disgust
name,disgust
chief,disgust
good,disgust
pick,disgust
far,disgust
youth,neutral
gin,neutral
came,neutral
ripe,neutral
ditch,neutral
bath,neutral
bar,neutral
pearl,neutral
mill,neutral
should,neutral
luck,neutral
gaze,neutral
doll,neutral
pain,neutral
lean,neutral
goal,neutral
kick,neutral
date,neutral
limb,neutral
hire,neutral
gun,neutral
search,neutral
red,neutral
dead,neutral
pool,neutral
thumb,neutral
bean,neutral
death,neutral
long,neutral
chain,neutral
laud,neutral
mess,neutral
when,neutral
nice,neutral
pick,neutral
which,neutral
keep,neutral
time,neutral
fail,neutral
void,neutral
back,neutral
cool,neutral
name,neutral
ring,neutral
numb,neutral
seize,neutral
tell,neutral
judge,neutral
south,neutral
keen,neutral
hash,neutral
bone,neutral
lid,neutral
make,neutral
sell,neutral
food,neutral
peg,neutral
tip,neutral
gas,neutral
said,neutral
cause,neutral
such,neutral
mob,neutral
fit,neutral
king,neutral
sub,neutral
sour,neutral
soap,neutral
mouse,neutral
sheep,neutral
yearn,neutral
rough,neutral
mop,neutral
tool,neutral
love,neutral
late,neutral
germ,neutral
life,neutral
cheek,neutral
shall,neutral
calm,neutral
shack,neutral
kill,neutral
vine,neutral
juice,neutral
knock,neutral
pike,neutral
moon,neutral
hate,neutral
raid,neutral
tough,neutral
week,neutral
beg,neutral
note,neutral
rag,neutral
white,neutral
hurl,neutral
pole,neutral
lore,neutral
shout,neutral
fat,neutral
nag,neutral
turn,neutral
base,neutral
dodge,neutral
far,neutral
burn,neutral
wag,neutral
jar,neutral
lose,neutral
rush,neutral
get,neutral
keg,neutral
dip,neutral
book,neutral
boat,neutral
haze,neutral
chat,neutral
jail,neutral
raise,neutral
goose,neutral
road,neutral
bought,neutral
reach,neutral
sure,neutral
room,neutral
hit,neutral
pass,neutral
yes,neutral
wheat,neutral
rot,neutral
rain,neutral
chalk,neutral
read,neutral
ton,neutral
puff,neutral
hush,neutral
tire,neutral
fall,neutral
door,neutral
shirt,neutral
five,neutral
vote,neutral
cab,neutral
bite,neutral
dog,neutral
deep,neutral
met,neutral
wire,neutral
team,neutral
wife,neutral
dab,neutral
sail,neutral
mood,neutral
have,neutral
third,neutral
soup,neutral
loaf,neutral
join,neutral
take,neutral
thought,neutral
match,neutral
near,neutral
pad,neutral
thin,neutral
chief,neutral
neat,neutral
witch,neutral
learn,neutral
live,neutral
wash,neutral
hall,neutral
size,neutral
voice,neutral
kite,neutral
shawl,neutral
choice,neutral
perch,neutral
young,neutral
half,neutral
check,neutral
lease,neutral
whip,neutral
mode,neutral
gap,neutral
lot,neutral
talk,neutral
tape,neutral
page,neutral
walk,neutral
chair,neutral
rat,neutral
dime,neutral
hole,neutral
rose,neutral
jug,neutral
merge,neutral
phone,neutral
home,neutral
good,neutral
check,fear
tell,fear
merge,fear
youth,fear
whip,fear
chair,fear
week,fear
ring,fear
seize,fear
nag,fear
match,fear
calm,fear
love,fear
lore,fear
yearn,fear
dodge,fear
keg,fear
burn,fear
have,fear
time,fear
pass,fear
book,fear
fall,fear
red,fear
shout,fear
bought,fear
five,fear
search,fear
pearl,fear
third,fear
boat,fear
mood,fear
far,fear
dog,fear
lose,fear
should,fear
neat,fear
page,fear
hole,fear
such,fear
live,fear
ditch,fear
chain,fear
phone,fear
bean,fear
door,fear
soap,fear
note,fear
home,fear
wash,fear
thought,fear
pick,fear
kite,fear
name,fear
when,fear
back,fear
witch,fear
numb,fear
cab,fear
hash,fear
raid,fear
walk,fear
tool,fear
get,fear
shawl,fear
date,fear
dip,fear
dab,fear
half,fear
rag,fear
gun,fear
mob,fear
judge,fear
shirt,fear
south,fear
deep,fear
near,fear
ton,fear
tape,fear
lean,fear
road,fear
soup,fear
rush,fear
goose,fear
gas,fear
sheep,fear
gap,fear
death,fear
room,fear
team,fear
jail,fear
kill,fear
hire,fear
moon,fear
luck,fear
bone,fear
rose,fear
laud,fear
wife,fear
hurl,fear
make,fear
met,fear
haze,fear
goal,fear
loaf,fear
voice,fear
hall,fear
turn,fear
pad,fear
take,fear
dead,fear
king,fear
base,fear
mill,fear
germ,fear
chat,fear
yes,fear
white,fear
bar,fear
tough,fear
perch,fear
hit,fear
thin,fear
join,fear
thumb,fear
juice,fear
gin,fear
bite,fear
nice,fear
rough,fear
rat,fear
lease,fear
life,fear
bath,fear
chalk,fear
hush,fear
choice,fear
knock,fear
fat,fear
young,fear
pike,fear
pain,fear
keep,fear
jar,fear
rain,fear
late,fear
cool,fear
tire,fear
mouse,fear
sub,fear
hate,fear
raise,fear
chief,fear
came,fear
cause,fear
sell,fear
long,fear
lot,fear
fit,fear
food,fear
wheat,fear
vote,fear
keen,fear
void,fear
pool,fear
dime,fear
puff,fear
cheek,fear
fail,fear
limb,fear
said,fear
peg,fear
size,fear
good,fear
shack,fear
learn,fear
lid,fear
sour,fear
sail,fear
ripe,fear
sure,fear
wag,fear
reach,fear
shall,fear
gaze,fear
which,fear
mode,fear
jug,fear
wire,fear
beg,fear
mop,fear
tip,fear
kick,fear
mess,fear
doll,fear
pole,fear
rot,fear
read,fear
vine,fear
talk,fear
fat,disgust
chair,disgust
bar,disgust
dodge,disgust
pearl,disgust
pad,disgust
mob,disgust
moon,disgust
tape,disgust
pole,disgust
youth,disgust
pike,disgust
name,disgust
dog,disgust
gaze,disgust
wheat,disgust
five,disgust
lose,disgust
search,disgust
death,disgust
tell,disgust
tough,disgust
lease,disgust
tool,disgust
tip,disgust
book,disgust
lore,disgust
soap,disgust
vote,disgust
choice,disgust
live,disgust
half,disgust
wash,disgust
said,disgust
love,disgust
mode,disgust
judge,disgust
rat,disgust
far,disgust
goose,disgust
rose,disgust
burn,disgust
jail,disgust
germ,disgust
jug,disgust
haze,disgust
bite,disgust
numb,disgust
base,disgust
phone,disgust
lean,disgust
cause,disgust
thought,disgust
mess,disgust
south,disgust
late,disgust
gap,disgust
limb,disgust
shack,disgust
such,disgust
fall,disgust
third,disgust
sure,disgust
merge,disgust
sheep,disgust
tire,disgust
gas,disgust
red,disgust
thumb,disgust
calm,disgust
get,disgust
chat,disgust
kill,disgust
turn,disgust
shall,disgust
size,disgust
raise,disgust
jar,disgust
mill,disgust
rag,disgust
yes,disgust
shout,disgust
vine,disgust
when,disgust
read,disgust
check,disgust
mood,disgust
talk,disgust
dip,disgust
bath,disgust
wife,disgust
thin,disgust
hurl,disgust
knock,disgust
sell,disgust
yearn,disgust
soup,disgust
laud,disgust
dead,disgust
pass,disgust
page,disgust
wire,disgust
whip,disgust
met,disgust
good,disgust
hall,disgust
beg,disgust
date,disgust
juice,disgust
voice,disgust
match,disgust
ripe,disgust
ditch,disgust
rain,disgust
white,disgust
life,disgust
keep,disgust
witch,disgust
join,disgust
near,disgust
pain,disgust
rush,disgust
home,disgust
back,disgust
cab,disgust
long,disgust
mop,disgust
nice,disgust
pool,disgust
mouse,disgust
rough,disgust
perch,disgust
hush,disgust
doll,disgust
lot,disgust
room,disgust
seize,disgust
door,disgust
time,disgust
puff,disgust
raid,disgust
ton,disgust
chalk,disgust
fail,disgust
bought,disgust
kick,disgust
shirt,disgust
note,disgust
pick,disgust
sub,disgust
goal,disgust
loaf,disgust
should,disgust
walk,disgust
sour,disgust
hate,disgust
ring,disgust
dab,disgust
nag,disgust
came,disgust
deep,disgust
hire,disgust
keg,disgust
rot,disgust
food,disgust
team,disgust
peg,disgust
boat,disgust
kite,disgust
learn,disgust
chain,disgust
hash,disgust
sail,disgust
dime,disgust
shawl,disgust
road,disgust
young,disgust
have,disgust
hole,disgust
take,disgust
king,disgust
fit,disgust
cool,disgust
bone,disgust
keen,disgust
cheek,disgust
which,disgust
hit,disgust
wag,disgust
lid,disgust
reach,disgust
void,disgust
luck,disgust
week,disgust
make,disgust
gun,disgust
bean,disgust
neat,disgust
gin,disgust
chief,disgust
beg,happy
deep,happy
dodge,happy
shirt,happy
gas,happy
pike,happy
mood,happy
lot,happy
loaf,happy
limb,happy
door,happy
name,happy
get,happy
pain,happy
rush,happy
pearl,happy
gun,happy
haze,happy
keen,happy
sheep,happy
pole,happy
soap,happy
youth,happy
kill,happy
jar,happy
vote,happy
mob,happy
which,happy
sell,happy
time,happy
pass,happy
tire,happy
pool,happy
reach,happy
bite,happy
page,happy
cool,happy
voice,happy
chair,happy
talk,happy
raise,happy
check,happy
live,happy
doll,happy
young,happy
death,happy
shack,happy
lose,happy
rain,happy
join,happy
chat,happy
back,happy
seize,happy
wire,happy
far,happy
whip,happy
cause,happy
good,happy
bone,happy
yearn,happy
kite,happy
dead,happy
ring,happy
moon,happy
base,happy
fit,happy
hole,happy
nice,happy
gaze,happy
boat,happy
pick,happy
peg,happy
jail,happy
hire,happy
south,happy
sure,happy
size,happy
hurl,happy
fail,happy
walk,happy
cheek,happy
perch,happy
ton,happy
rough,happy
road,happy
third,happy
gin,happy
judge,happy
rot,happy
mess,happy
juice,happy
thin,happy
tip,happy
wag,happy
hall,happy
learn,happy
luck,happy
neat,happy
mill,happy
near,happy
cab,happy
chain,happy
calm,happy
lore,happy
book,happy
life,happy
merge,happy
white,happy
puff,happy
fall,happy
bath,happy
hate,happy
mode,happy
raid,happy
make,happy
lease,happy
goal,happy
ripe,happy
lean,happy
thumb,happy
dime,happy
keep,happy
hush,happy
ditch,happy
hash,happy
choice,happy
tough,happy
turn,happy
rose,happy
mouse,happy
read,happy
sour,happy
chalk,happy
said,happy
home,happy
shawl,happy
when,happy
note,happy
keg,happy
phone,happy
such,happy
met,happy
long,happy
mop,happy
dip,happy
half,happy
dab,happy
wash,happy
bar,happy
search,happy
vine,happy
witch,happy
sub,happy
red,happy
rag,happy
wheat,happy
fat,happy
date,happy
room,happy
tool,happy
shout,happy
nag,happy
kick,happy
have,happy
chief,happy
numb,happy
food,happy
gap,happy
tape,happy
soup,happy
take,happy
thought,happy
dog,happy
knock,happy
team,happy
hit,happy
wife,happy
pad,happy
match,happy
laud,happy
king,happy
jug,happy
tell,happy
sail,happy
void,happy
five,happy
goose,happy
bought,happy
germ,happy
love,happy
late,happy
rat,happy
shall,happy
week,happy
bean,happy
should,happy
burn,happy
came,happy
lid,happy
yes,happy
mood,happy
keen,happy
rain,happy
name,happy
far,happy
dead,happy
doll,happy
long,happy
merge,happy
tool,happy
gaze,happy
tape,happy
learn,happy
near,happy
juice,happy
sure,happy
sour,happy
time,happy
shout,happy
ton,happy
tough,happy
youth,happy
bar,happy
cool,happy
met,happy
luck,happy
hash,happy
sheep,happy
sail,happy
laud,happy
jail,happy
door,happy
chair,happy
lose,happy
pike,happy
lean,happy
dodge,happy
lid,happy
team,happy
match,happy
jug,happy
red,happy
whip,happy
bought,happy
check,happy
lot,happy
sub,happy
yes,happy
hit,happy
jar,happy
chalk,happy
thought,happy
death,happy
dip,happy
late,happy
when,happy
food,happy
rag,happy
turn,happy
bath,happy
which,happy
gun,happy
hush,happy
witch,happy
road,happy
thin,happy
size,happy
lease,happy
book,happy
chat,happy
young,happy
raid,happy
rat,happy
lore,happy
calm,happy
haze,happy
pool,happy
third,happy
soap,happy
goose,happy
back,happy
hate,happy
tire,happy
wash,happy
goal,happy
life,happy
base,happy
kick,happy
pearl,happy
beg,happy
dime,happy
have,happy
judge,happy
room,happy
mop,happy
gap,happy
phone,happy
numb,happy
join,happy
mouse,happy
cheek,happy
talk,happy
shawl,happy
cab,happy
knock,happy
said,happy
deep,happy
fat,happy
came,happy
wag,happy
hole,happy
live,happy
home,happy
soup,happy
get,happy
love,happy
pad,happy
nice,happy
limb,happy
peg,happy
wheat,happy
vine,happy
hire,happy
half,happy
shack,happy
gin,happy
take,happy
sell,happy
king,happy
page,happy
pain,happy
choice,happy
ditch,happy
bite,happy
bean,happy
boat,happy
mill,happy
should,happy
date,happy
bone,happy
hall,happy
fail,happy
hurl,happy
rush,happy
cause,happy
fall,happy
read,happy
walk,happy
shirt,happy
pole,happy
rough,happy
wire,happy
perch,happy
moon,happy
rot,happy
germ,happy
fit,happy
keep,happy
dab,happy
gas,happy
mode,happy
five,happy
puff,happy
note,happy
make,happy
shall,happy
ring,happy
mob,happy
loaf,happy
chief,happy
yearn,happy
rose,happy
thumb,happy
reach,happy
raise,happy
such,happy
white,happy
void,happy
seize,happy
search,happy
tip,happy
pass,happy
kite,happy
ripe,happy
kill,happy
neat,happy
chain,happy
south,happy
wife,happy
keg,happy
voice,happy
week,happy
nag,happy
burn,happy
good,happy
pick,happy
dog,happy
mess,happy
tell,happy
vote,happy
rush,sad
week,sad
shawl,sad
lease,sad
search,sad
mode,sad
pole,sad
tell,sad
lose,sad
burn,sad
gun,sad
tip,sad
good,sad
name,sad
pick,sad
join,sad
ton,sad
which,sad
yes,sad
came,sad
raid,sad
merge,sad
bite,sad
loaf,sad
soap,sad
tough,sad
hash,sad
dodge,sad
south,sad
chair,sad
cool,sad
keep,sad
germ,sad
cab,sad
chain,sad
third,sad
thin,sad
learn,sad
keen,sad
neat,sad
home,sad
fit,sad
dog,sad
gaze,sad
life,sad
pool,sad
raise,sad
seize,sad
book,sad
phone,sad
bean,sad
witch,sad
nice,sad
choice,sad
lid,sad
ditch,sad
hate,sad
near,sad
dip,sad
wife,sad
pad,sad
hire,sad
get,sad
lore,sad
pass,sad
food,sad
such,sad
cause,sad
haze,sad
hit,sad
road,sad
tire,sad
rot,sad
kick,sad
thought,sad
white,sad
rat,sad
pike,sad
sure,sad
fat,sad
shall,sad
whip,sad
youth,sad
late,sad
mess,sad
jug,sad
long,sad
goal,sad
voice,sad
chalk,sad
make,sad
note,sad
rose,sad
met,sad
turn,sad
reach,sad
mill,sad
puff,sad
gin,sad
ripe,sad
jar,sad
juice,sad
shack,sad
soup,sad
take,sad
mob,sad
limb,sad
void,sad
doll,sad
hall,sad
talk,sad
yearn,sad
page,sad
numb,sad
fail,sad
when,sad
judge,sad
wheat,sad
knock,sad
moon,sad
door,sad
shout,sad
young,sad
deep,sad
gas,sad
sub,sad
sour,sad
boat,sad
lot,sad
calm,sad
love,sad
vine,sad
five,sad
mop,sad
sell,sad
base,sad
rag,sad
team,sad
fall,sad
time,sad
ring,sad
kite,sad
dab,sad
far,sad
dime,sad
sail,sad
beg,sad
back,sad
rain,sad
hole,sad
bath,sad
jail,sad
pearl,sad
hush,sad
pain,sad
said,sad
rough,sad
wire,sad
check,sad
tape,sad
bar,sad
nag,sad
bone,sad
size,sad
mood,sad
walk,sad
chief,sad
date,sad
mouse,sad
should,sad
goose,sad
luck,sad
gap,sad
bought,sad
keg,sad
wag,sad
dead,sad
sheep,sad
chat,sad
room,sad
wash,sad
perch,sad
shirt,sad
king,sad
have,sad
laud,sad
live,sad
thumb,sad
kill,sad
death,sad
peg,sad
lean,sad
vote,sad
hurl,sad
cheek,sad
read,sad
match,sad
tool,sad
red,sad
half,sad
pole,angry
merge,angry
pool,angry
pain,angry
get,angry
ditch,angry
such,angry
jar,angry
date,angry
search,angry
rush,angry
rat,angry
fall,angry
rain,angry
week,angry
note,angry
limb,angry
size,angry
jug,angry
life,angry
white,angry
ripe,angry
hate,angry
pass,angry
lid,angry
hole,angry
when,angry
bath,angry
